id,Name,Price,Category,Description,Color,Count
1068,Island hemp skirt ,54,Skirt, The Island Hemp Skirt brings freestyle comfort to any creekside rock,blue,5
1069,L/s runshade top ,54,Top," Long days and scorching rays can't stop the cool, comfortable",blue,0
1070,Synch vest ,54,Vest," With the possible exception of duct tape, there is nothing more versatile than a fleece vest. This one provides color and core warmth without the bulk of a jacket, and is made from cushy 7.5",blue,0
1071,Tranquila capri leggings ,54,Pants, Even in the crux you'll keep your cool in skin,blue,0
1072,Traverse jkt ,54,Jacket," The sun has set, the air is cold, and three rugged miles lie between you and a warm car. Good motivation to zip up the lightweight Traverse and pick up your pace. This highly breathable soft shell is made from a fast",blue,0
1073,Torrentshell pants ,54,Pants," They're lightweight, waterproof and breathable: Our new Torrentshell Pants keep you singing in the rain when the thunderstorms boom. The simple pull",blue,0
1074,Inga shortie ,54,Shorts," Short boards and short shorts liven up any shore break. The Inga Shortie is made from soft, sturdy organic cotton canvas, and with a 2"" inseam, they're about the shortest shorts we make. Slim",blue,4
1075,Vintage logo pkt t,54,Shirt,shirt ,blue,5
1076,Runshade t,54,Shirt,shirt ,blue,0
1077,Lw travel courier ,54,Bag," This graceful rendition of the courier bag is sleek and nearly weightless. It has a zippered closure with adjustable drawstring, and a zippered security pocket for your bike light or prayer beads. Its breathable, adjustable shoulder strap is comfortable and quick",blue,3
